Reference, Value, Footprint, MPN
C1,0.047uF,Capacitor_THT:C_Rect_L13.0mm_W4.0mm_P10.00mm_FKS3_FKP3_MKS4,BFC233921473
C10,0.01uF/50V,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,C315C103K5R5TA7303
C11,4700pF/1KV,Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm,CK45-B3AD472KYGNA
C12,470nF,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,K474Z20Y5VF5TH5
C13,100pF/1KV,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm,F101K25Y5RN63K5R
C14,4.7nF/Y2,Capacitor_THT:C_Disc_D12.5mm_W5.0mm_P7.50mm,VY2472M49Y5US63V7
C15,0.01uF/50V,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,C315C103K5R5TA7303
C16,470pF/1KV,Capacitor_THT:C_Disc_D12.5mm_W5.0mm_P7.50mm,CC45SL3AD471JYGNA
C17,1000uF/25V,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,25ZLH1000MEFCT810X23
C18,1000uF/25V,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,25ZLH1000MEFCT810X23
C19,220uF/25V,Capacitor_THT:CP_Radial_D8.0mm_P5.00mm,EEU-FR1E221B
C2,0.33uF,Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,BFC233920334
C3,0.33uF,Capacitor_THT:C_Rect_L18.0mm_W9.0mm_P15.00mm_FKS3_FKP3,BFC233920334
C5,100uF/25V,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,ESK107M025AE3EA
C7,4.7nF,Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,MMK5472K63J01L4BULK
C8,470nF,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,K474Z20Y5VF5TH5
C9,68uF/400V,Capacitor_THT:CP_Radial_D16.0mm_P7.50mm,400BXW68MEFR16X25
CONN1,100-240Vac,"Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",1728853
CONN2,12Vdc/2A,"Connector_Phoenix_GMSTB:PhoenixContact_GMSTBA_2,5_2-G-7,62_1x02_P7.62mm_Horizontal",1728853
D1,GBU810GTB,Diode_THT:Diode_Bridge_Vishay_GBU,GBU810GTB
D2,1.5KE220A,Diode_THT:D_DO-201_P15.24mm_Horizontal,1.5KE220A
D3,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1N4148TR
D4,STTH1R06,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,STTH1R06RL
D5,STTH1R06,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,STTH1R06RL
D6,SB3200TA,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,SB3200TA
F1,3.15AT/250V,Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,31.8201
H1,M2.5,MountingHole:MountingHole_2.7mm_Pad_Via,
H2,M2.5,MountingHole:MountingHole_2.7mm_Pad_Via,
H3,M2.5,MountingHole:MountingHole_2.7mm_Pad_Via,
H4,M2.5,MountingHole:MountingHole_2.7mm_Pad_Via,
L1,2x35mH,AE01.17.25.000:L_CommonMode_Wuerth_WE-CMB-NC,7448040435
L2,2.2uH,Inductor_THT:L_Radial_D9.5mm_P5.00mm_Fastron_07HVP,AIUR-03-2R2M
R1,4ohm/3W,Resistor_THT:R_Axial_DIN0614_L14.3mm_D5.7mm_P20.32mm_Horizontal,WW3FT4R00
R10,3.48K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,RNF14FTD3K48
R11,13.3K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,RNF14FTD13K3
R12,DNP,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R2,3.01K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,RNF14FTD3K01
R3,3.32K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,RNF14FTD3K32
R4,22K/2W,Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal,RSF2JT22K0
R5,15,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,RNF14FTD15R0
R6,1.0K/2W,Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P25.40mm_Horizontal,RSF2JT1K00
R7,22R/0.5W,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,CF12JT22R0
R8,68.1,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,RNF14FTD68R1
R9,1K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,RNF14FTD1K00
T1,CVP_53-001,AE01.17.29.000:CVP_53-001,CVP 53-001
U1,VIPer53EDIP-E,Package_DIP:DIP-8_W7.62mm,VIPER53EDIP-E
U2,LTV-817,Package_DIP:DIP-4_W7.62mm,LTV-817
U3,TL431,Package_TO_SOT_THT:TO-92_Inline_Wide,TL431CLPRE3
VAR1,275V,Varistor:RV_Disc_D15.5mm_W3.9mm_P7.5mm,B72214S2271K151
